lang_id,lang_name,tonal,resource,family,checkpoint,config,layers,trr,per_layer_r,wer,wer_delta,halluc_rate,halluc_n_high_cr,halluc_n_empty,mean_hyp_words,mean_ref_words,seq_len_final,n_samples,elapsed_s
vi_vn,Vietnamese,True,Medium,Austroasiatic,checkpoint-2000,baseline_ft,[],0.0,0.0,0.141013,0.0,0.0,0,0,30.34,30.38,1500,264,386.7
vi_vn,Vietnamese,True,Medium,Austroasiatic,checkpoint-2000,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.05,0.006391,0.142875,0.001862,0.0,0,0,30.34,30.38,1428,264,384.8
vi_vn,Vietnamese,True,Medium,Austroasiatic,checkpoint-2000,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.1,0.013084,0.142254,0.001241,0.0,0,0,30.34,30.38,1354,264,378.2
vi_vn,Vietnamese,True,Medium,Austroasiatic,checkpoint-2000,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.2,0.027508,0.142378,0.001365,0.0,0,0,30.36,30.38,1204,264,364.7
vi_vn,Vietnamese,True,Medium,Austroasiatic,checkpoint-2000,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.3,0.043605,0.142378,0.001365,0.0,0,0,30.34,30.38,1054,264,353.6
vi_vn,Vietnamese,True,Medium,Austroasiatic,checkpoint-2000,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.4,0.061857,0.142751,0.001738,0.0,0,0,30.34,30.38,904,264,345.6
ha_ng,Hausa,True,Low,Chadic,checkpoint-2000,baseline_ft,[],0.0,0.0,0.753108,0.0,0.0,0,0,24.65,25.6,1500,264,412.5
ha_ng,Hausa,True,Low,Chadic,checkpoint-2000,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.05,0.006391,0.748771,-0.004337,0.0,0,0,24.59,25.6,1428,264,408.0
ha_ng,Hausa,True,Low,Chadic,checkpoint-2000,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.1,0.013084,0.748338,-0.00477,0.0,0,0,24.65,25.6,1354,264,403.0
ha_ng,Hausa,True,Low,Chadic,checkpoint-2000,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.2,0.027508,0.744868,-0.008239,0.0,0,0,24.71,25.6,1204,264,387.1
ha_ng,Hausa,True,Low,Chadic,checkpoint-2000,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.3,0.043605,0.747326,-0.005782,0.0,0,0,24.6,25.6,1054,264,377.2
ha_ng,Hausa,True,Low,Chadic,checkpoint-2000,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.4,0.061857,0.744724,-0.008384,0.0,0,0,24.62,25.6,904,264,364.4
ln_cd,Lingala,True,Low,Bantu,checkpoint-2000,baseline_ft,[],0.0,0.0,0.521732,0.0,0.0,0,0,21.03,21.56,1500,264,361.8
ln_cd,Lingala,True,Low,Bantu,checkpoint-2000,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.05,0.006391,0.519637,-0.002095,0.0,0,0,21.02,21.56,1428,264,359.1
ln_cd,Lingala,True,Low,Bantu,checkpoint-2000,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.1,0.013084,0.522953,0.001222,0.0,0,0,20.99,21.56,1354,264,352.9
ln_cd,Lingala,True,Low,Bantu,checkpoint-2000,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.2,0.027508,0.521906,0.000175,0.0,0,0,20.94,21.56,1204,264,338.0
ln_cd,Lingala,True,Low,Bantu,checkpoint-2000,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.3,0.043605,0.526095,0.004364,0.0,0,0,20.94,21.56,1054,264,327.6
