lang_id,lang_name,tonal,resource,family,config,layers,trr,per_layer_r,wer,wer_delta,seq_len_final,n_samples,elapsed_s
af_za,Afrikaans,False,Low,Germanic,baseline,[],0.0,0.0,0.45147,0.0,1500,264,323.0
af_za,Afrikaans,False,Low,Germanic,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.05,0.006391,0.451982,0.000513,1428,264,321.6
af_za,Afrikaans,False,Low,Germanic,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.1,0.013084,0.453178,0.001709,1354,264,315.8
af_za,Afrikaans,False,Low,Germanic,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.2,0.027508,0.451299,-0.000171,1204,264,303.3
af_za,Afrikaans,False,Low,Germanic,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.3,0.043605,0.44959,-0.00188,1054,264,296.2
af_za,Afrikaans,False,Low,Germanic,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.4,0.061857,0.449077,-0.002392,904,264,285.3
am_et,Amharic,False,Low,Semitic,baseline,[],0.0,0.0,1.060832,0.0,1500,264,673.0
am_et,Amharic,False,Low,Semitic,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.05,0.006391,1.067616,0.006784,1428,264,982.0
am_et,Amharic,False,Low,Semitic,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.1,0.013084,1.078697,0.017865,1354,264,1383.2
am_et,Amharic,False,Low,Semitic,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.2,0.027508,1.0891,0.028268,1204,264,1233.2
am_et,Amharic,False,Low,Semitic,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.3,0.043605,1.086839,0.026006,1054,264,1119.6
am_et,Amharic,False,Low,Semitic,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.4,0.061857,1.100407,0.039575,904,264,1508.9
cy_gb,Welsh,False,Low,Celtic,baseline,[],0.0,0.0,0.368912,0.0,1500,264,729.8
cy_gb,Welsh,False,Low,Celtic,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.05,0.006391,0.365951,-0.002961,1428,264,699.1
cy_gb,Welsh,False,Low,Celtic,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.1,0.013084,0.364619,-0.004293,1354,264,671.4
cy_gb,Welsh,False,Low,Celtic,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.2,0.027508,0.363138,-0.005774,1204,264,649.6
cy_gb,Welsh,False,Low,Celtic,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.3,0.043605,0.363286,-0.005625,1054,264,907.1
cy_gb,Welsh,False,Low,Celtic,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.4,0.061857,0.366395,-0.002517,904,264,964.7
ha_ng,Hausa,True,Low,Chadic,baseline,[],0.0,0.0,0.88754,0.0,1500,264,954.0
ha_ng,Hausa,True,Low,Chadic,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.05,0.006391,0.885227,-0.002313,1428,264,809.6
ha_ng,Hausa,True,Low,Chadic,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.1,0.013084,0.879589,-0.00795,1354,264,783.8
ha_ng,Hausa,True,Low,Chadic,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.2,0.027508,0.886962,-0.000578,1204,264,750.7
ha_ng,Hausa,True,Low,Chadic,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.3,0.043605,0.886094,-0.001446,1054,264,765.2
ha_ng,Hausa,True,Low,Chadic,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.4,0.061857,0.883492,-0.004047,904,264,1075.5
is_is,Icelandic,False,Low,Germanic,baseline,[],0.0,0.0,0.49758,0.0,1500,264,145.5
is_is,Icelandic,False,Low,Germanic,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.05,0.006391,0.495644,-0.001936,1428,264,148.7
is_is,Icelandic,False,Low,Germanic,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.1,0.013084,0.49274,-0.00484,1354,264,152.0
is_is,Icelandic,False,Low,Germanic,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.2,0.027508,0.496612,-0.000968,1204,264,156.0
is_is,Icelandic,False,Low,Germanic,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.3,0.043605,0.498548,0.000968,1054,264,154.2
is_is,Icelandic,False,Low,Germanic,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.4,0.061857,0.493708,-0.003872,904,264,151.8
jv_id,Javanese,False,Very Low,Austronesian,baseline,[],0.0,0.0,0.672285,0.0,1500,264,549.9
jv_id,Javanese,False,Very Low,Austronesian,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.05,0.006391,0.65412,-0.018165,1428,264,539.8
jv_id,Javanese,False,Very Low,Austronesian,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.1,0.013084,0.653371,-0.018914,1354,264,532.7
jv_id,Javanese,False,Very Low,Austronesian,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.2,0.027508,0.658614,-0.01367,1204,264,600.2
jv_id,Javanese,False,Very Low,Austronesian,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.3,0.043605,0.654682,-0.017603,1054,264,829.1
jv_id,Javanese,False,Very Low,Austronesian,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.4,0.061857,0.663483,-0.008801,904,264,791.2
kk_kz,Kazakh,False,Very Low,Turkic,baseline,[],0.0,0.0,0.53392,0.0,1500,264,985.2
kk_kz,Kazakh,False,Very Low,Turkic,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.05,0.006391,0.544869,0.010949,1428,264,928.5
kk_kz,Kazakh,False,Very Low,Turkic,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.1,0.013084,0.542722,0.008802,1354,264,1025.5
kk_kz,Kazakh,False,Very Low,Turkic,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.2,0.027508,0.541219,0.007299,1204,264,1253.3
kk_kz,Kazakh,False,Very Low,Turkic,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.3,0.043605,0.542937,0.009017,1054,264,1284.7
kk_kz,Kazakh,False,Very Low,Turkic,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.4,0.061857,0.539287,0.005367,904,264,1274.9
ln_cd,Lingala,True,Low,Bantu,baseline,[],0.0,0.0,0.832257,0.0,1500,264,868.4
ln_cd,Lingala,True,Low,Bantu,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.05,0.006391,0.819166,-0.013091,1428,264,969.1
ln_cd,Lingala,True,Low,Bantu,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.1,0.013084,0.826322,-0.005935,1354,264,917.3
ln_cd,Lingala,True,Low,Bantu,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.2,0.027508,0.804503,-0.027754,1204,264,984.2
ln_cd,Lingala,True,Low,Bantu,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.3,0.043605,0.81742,-0.014837,1054,264,983.7
ln_cd,Lingala,True,Low,Bantu,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.4,0.061857,0.818118,-0.014139,904,264,1031.0
mt_mt,Maltese,False,Low,Semitic,baseline,[],0.0,0.0,0.821881,0.0,1500,264,734.3
mt_mt,Maltese,False,Low,Semitic,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.05,0.006391,0.826789,0.004908,1428,264,756.8
mt_mt,Maltese,False,Low,Semitic,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.1,0.013084,0.825522,0.003642,1354,264,759.9
mt_mt,Maltese,False,Low,Semitic,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.2,0.027508,0.825206,0.003325,1204,264,781.0
mt_mt,Maltese,False,Low,Semitic,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.3,0.043605,0.822198,0.000317,1054,264,766.3
mt_mt,Maltese,False,Low,Semitic,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.4,0.061857,0.822039,0.000158,904,264,793.4
pa_in,Punjabi,False,Low,Indo-Aryan,baseline,[],0.0,0.0,1.02644,0.0,1500,264,1571.8
pa_in,Punjabi,False,Low,Indo-Aryan,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.05,0.006391,1.024285,-0.002155,1428,264,1515.4
pa_in,Punjabi,False,Low,Indo-Aryan,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.1,0.013084,1.025114,-0.001326,1354,264,1493.1
pa_in,Punjabi,False,Low,Indo-Aryan,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.2,0.027508,1.025943,-0.000497,1204,264,1303.4
pa_in,Punjabi,False,Low,Indo-Aryan,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.3,0.043605,1.023456,-0.002984,1054,264,804.9
pa_in,Punjabi,False,Low,Indo-Aryan,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.4,0.061857,1.026274,-0.000166,904,264,791.2
sn_zw,Shona,True,Low,Bantu,baseline,[],0.0,0.0,1.080745,0.0,1500,264,1452.5
sn_zw,Shona,True,Low,Bantu,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.05,0.006391,1.182052,0.101306,1428,264,1409.8
sn_zw,Shona,True,Low,Bantu,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.1,0.013084,1.125294,0.044549,1354,264,1335.7
sn_zw,Shona,True,Low,Bantu,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.2,0.027508,1.127436,0.046691,1204,264,1846.1
sn_zw,Shona,True,Low,Bantu,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.3,0.043605,1.180767,0.100021,1054,264,2204.9
sn_zw,Shona,True,Low,Bantu,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.4,0.061857,1.175412,0.094667,904,264,2021.3
so_so,Somali,False,Very Low,Cushitic,baseline,[],0.0,0.0,1.032516,0.0,1500,264,728.7
so_so,Somali,False,Very Low,Cushitic,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.05,0.006391,1.023249,-0.009268,1428,264,710.9
so_so,Somali,False,Very Low,Cushitic,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.1,0.013084,1.022463,-0.010053,1354,264,708.6
so_so,Somali,False,Very Low,Cushitic,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.2,0.027508,1.02372,-0.008797,1204,264,789.0
so_so,Somali,False,Very Low,Cushitic,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.3,0.043605,1.027019,-0.005498,1054,264,793.0
so_so,Somali,False,Very Low,Cushitic,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.4,0.061857,1.025134,-0.007383,904,264,770.9
sw_ke,Swahili,False,Medium,Bantu,baseline,[],0.0,0.0,0.517286,0.0,1500,264,485.8
sw_ke,Swahili,False,Medium,Bantu,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.05,0.006391,0.526113,0.008827,1428,264,566.0
sw_ke,Swahili,False,Medium,Bantu,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.1,0.013084,0.520964,0.003678,1354,264,583.3
sw_ke,Swahili,False,Medium,Bantu,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.2,0.027508,0.525561,0.008275,1204,264,560.3
sw_ke,Swahili,False,Medium,Bantu,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.3,0.043605,0.53071,0.013424,1054,264,533.6
sw_ke,Swahili,False,Medium,Bantu,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.4,0.061857,0.5274,0.010114,904,264,523.5
ta_in,Tamil,False,Medium,Dravidian,baseline,[],0.0,0.0,0.356727,0.0,1500,264,1380.3
ta_in,Tamil,False,Medium,Dravidian,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.05,0.006391,0.358333,0.001606,1428,264,1203.6
ta_in,Tamil,False,Medium,Dravidian,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.1,0.013084,0.361745,0.005018,1354,264,1347.6
ta_in,Tamil,False,Medium,Dravidian,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.2,0.027508,0.355724,-0.001004,1204,264,1223.8
ta_in,Tamil,False,Medium,Dravidian,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.3,0.043605,0.358065,0.001338,1054,264,1246.0
ta_in,Tamil,False,Medium,Dravidian,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.4,0.061857,0.35472,-0.002007,904,264,1325.9
th_th,Thai,True,Medium,Tai-Kadai,baseline,[],0.0,0.0,0.406032,0.0,1500,264,950.2
th_th,Thai,True,Medium,Tai-Kadai,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.05,0.006391,0.409424,0.003392,1428,264,826.3
th_th,Thai,True,Medium,Tai-Kadai,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.1,0.013084,0.405757,-0.000275,1354,264,686.0
th_th,Thai,True,Medium,Tai-Kadai,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.2,0.027508,0.406857,0.000825,1204,264,666.4
th_th,Thai,True,Medium,Tai-Kadai,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.3,0.043605,0.406124,9.2e-05,1054,264,648.0
th_th,Thai,True,Medium,Tai-Kadai,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.4,0.061857,0.403374,-0.002659,904,264,635.8
uz_uz,Uzbek,False,Low,Turkic,baseline,[],0.0,0.0,1.02352,0.0,1500,264,554.2
uz_uz,Uzbek,False,Low,Turkic,A,"[2, 5, 8, 11, 14, 17, 20, 23]",0.05,0.006391,1.024716,0.001196,1428,264,565.0
