model,lang_id,group,layer,n_layers,cos_mean,n_samples
whisper-large-v3,en_us,nontonal_high,1,32,0.974988,264
whisper-large-v3,en_us,nontonal_high,2,32,0.948493,264
whisper-large-v3,en_us,nontonal_high,3,32,0.960644,264
whisper-large-v3,en_us,nontonal_high,4,32,0.957118,264
whisper-large-v3,en_us,nontonal_high,5,32,0.950741,264
whisper-large-v3,en_us,nontonal_high,6,32,0.96632,264
whisper-large-v3,en_us,nontonal_high,7,32,0.957112,264
whisper-large-v3,en_us,nontonal_high,8,32,0.941564,264
whisper-large-v3,en_us,nontonal_high,9,32,0.946584,264
whisper-large-v3,en_us,nontonal_high,10,32,0.942069,264
whisper-large-v3,en_us,nontonal_high,11,32,0.972565,264
whisper-large-v3,en_us,nontonal_high,12,32,0.956417,264
whisper-large-v3,en_us,nontonal_high,13,32,0.950681,264
whisper-large-v3,en_us,nontonal_high,14,32,0.969207,264
whisper-large-v3,en_us,nontonal_high,15,32,0.951691,264
whisper-large-v3,en_us,nontonal_high,16,32,0.961222,264
whisper-large-v3,en_us,nontonal_high,17,32,0.967416,264
whisper-large-v3,en_us,nontonal_high,18,32,0.957417,264
whisper-large-v3,en_us,nontonal_high,19,32,0.965706,264
whisper-large-v3,en_us,nontonal_high,20,32,0.963738,264
whisper-large-v3,en_us,nontonal_high,21,32,0.967914,264
whisper-large-v3,en_us,nontonal_high,22,32,0.963555,264
whisper-large-v3,en_us,nontonal_high,23,32,0.95804,264
whisper-large-v3,en_us,nontonal_high,24,32,0.950853,264
whisper-large-v3,en_us,nontonal_high,25,32,0.937144,264
whisper-large-v3,en_us,nontonal_high,26,32,0.939385,264
whisper-large-v3,en_us,nontonal_high,27,32,0.923432,264
whisper-large-v3,en_us,nontonal_high,28,32,0.904033,264
whisper-large-v3,en_us,nontonal_high,29,32,0.915952,264
whisper-large-v3,en_us,nontonal_high,30,32,0.911813,264
whisper-large-v3,en_us,nontonal_high,31,32,0.90973,264
whisper-large-v3,en_us,nontonal_high,32,32,0.910617,264
whisper-large-v3,fr_fr,?,1,32,0.97056,264
whisper-large-v3,fr_fr,?,2,32,0.943959,264
whisper-large-v3,fr_fr,?,3,32,0.957247,264
whisper-large-v3,fr_fr,?,4,32,0.951904,264
whisper-large-v3,fr_fr,?,5,32,0.945123,264
whisper-large-v3,fr_fr,?,6,32,0.962969,264
whisper-large-v3,fr_fr,?,7,32,0.951775,264
whisper-large-v3,fr_fr,?,8,32,0.934713,264
whisper-large-v3,fr_fr,?,9,32,0.940337,264
whisper-large-v3,fr_fr,?,10,32,0.934898,264
whisper-large-v3,fr_fr,?,11,32,0.968673,264
whisper-large-v3,fr_fr,?,12,32,0.949027,264
whisper-large-v3,fr_fr,?,13,32,0.942367,264
whisper-large-v3,fr_fr,?,14,32,0.9639,264
whisper-large-v3,fr_fr,?,15,32,0.945568,264
whisper-large-v3,fr_fr,?,16,32,0.956658,264
whisper-large-v3,fr_fr,?,17,32,0.961535,264
whisper-large-v3,fr_fr,?,18,32,0.951459,264
whisper-large-v3,fr_fr,?,19,32,0.959143,264
whisper-large-v3,fr_fr,?,20,32,0.956163,264
whisper-large-v3,fr_fr,?,21,32,0.961456,264
whisper-large-v3,fr_fr,?,22,32,0.954315,264
whisper-large-v3,fr_fr,?,23,32,0.951846,264
whisper-large-v3,fr_fr,?,24,32,0.944561,264
whisper-large-v3,fr_fr,?,25,32,0.92787,264
whisper-large-v3,fr_fr,?,26,32,0.93089,264
whisper-large-v3,fr_fr,?,27,32,0.914664,264
whisper-large-v3,fr_fr,?,28,32,0.898858,264
whisper-large-v3,fr_fr,?,29,32,0.909923,264
whisper-large-v3,fr_fr,?,30,32,0.905966,264
whisper-large-v3,fr_fr,?,31,32,0.902371,264
whisper-large-v3,fr_fr,?,32,32,0.905064,264
whisper-large-v3,de_de,nontonal_high,1,32,0.967428,264
whisper-large-v3,de_de,nontonal_high,2,32,0.933988,264
whisper-large-v3,de_de,nontonal_high,3,32,0.951953,264
whisper-large-v3,de_de,nontonal_high,4,32,0.944925,264
whisper-large-v3,de_de,nontonal_high,5,32,0.934208,264
whisper-large-v3,de_de,nontonal_high,6,32,0.958205,264
whisper-large-v3,de_de,nontonal_high,7,32,0.943769,264
whisper-large-v3,de_de,nontonal_high,8,32,0.919296,264
whisper-large-v3,de_de,nontonal_high,9,32,0.924816,264
whisper-large-v3,de_de,nontonal_high,10,32,0.919696,264
whisper-large-v3,de_de,nontonal_high,11,32,0.963643,264
whisper-large-v3,de_de,nontonal_high,12,32,0.93992,264
whisper-large-v3,de_de,nontonal_high,13,32,0.932077,264
whisper-large-v3,de_de,nontonal_high,14,32,0.956869,264
whisper-large-v3,de_de,nontonal_high,15,32,0.93395,264
whisper-large-v3,de_de,nontonal_high,16,32,0.951802,264
whisper-large-v3,de_de,nontonal_high,17,32,0.956608,264
whisper-large-v3,de_de,nontonal_high,18,32,0.942005,264
whisper-large-v3,de_de,nontonal_high,19,32,0.951675,264
whisper-large-v3,de_de,nontonal_high,20,32,0.949494,264
whisper-large-v3,de_de,nontonal_high,21,32,0.956897,264
whisper-large-v3,de_de,nontonal_high,22,32,0.946904,264
whisper-large-v3,de_de,nontonal_high,23,32,0.942899,264
whisper-large-v3,de_de,nontonal_high,24,32,0.932917,264
whisper-large-v3,de_de,nontonal_high,25,32,0.916241,264
whisper-large-v3,de_de,nontonal_high,26,32,0.922276,264
whisper-large-v3,de_de,nontonal_high,27,32,0.902925,264
whisper-large-v3,de_de,nontonal_high,28,32,0.886765,264
whisper-large-v3,de_de,nontonal_high,29,32,0.897387,264
whisper-large-v3,de_de,nontonal_high,30,32,0.895214,264
whisper-large-v3,de_de,nontonal_high,31,32,0.890696,264
whisper-large-v3,de_de,nontonal_high,32,32,0.892706,264
whisper-large-v3,es_419,nontonal_high,1,32,0.967239,264
whisper-large-v3,es_419,nontonal_high,2,32,0.936397,264
whisper-large-v3,es_419,nontonal_high,3,32,0.95092,264
whisper-large-v3,es_419,nontonal_high,4,32,0.943551,264
whisper-large-v3,es_419,nontonal_high,5,32,0.934461,264
whisper-large-v3,es_419,nontonal_high,6,32,0.957173,264
whisper-large-v3,es_419,nontonal_high,7,32,0.943138,264
whisper-large-v3,es_419,nontonal_high,8,32,0.920829,264
whisper-large-v3,es_419,nontonal_high,9,32,0.930377,264
whisper-large-v3,es_419,nontonal_high,10,32,0.921554,264
whisper-large-v3,es_419,nontonal_high,11,32,0.962761,264
whisper-large-v3,es_419,nontonal_high,12,32,0.940928,264
whisper-large-v3,es_419,nontonal_high,13,32,0.930568,264
whisper-large-v3,es_419,nontonal_high,14,32,0.95726,264
whisper-large-v3,es_419,nontonal_high,15,32,0.933294,264
whisper-large-v3,es_419,nontonal_high,16,32,0.950698,264
whisper-large-v3,es_419,nontonal_high,17,32,0.954619,264
whisper-large-v3,es_419,nontonal_high,18,32,0.941196,264
whisper-large-v3,es_419,nontonal_high,19,32,0.952689,264
whisper-large-v3,es_419,nontonal_high,20,32,0.950595,264
whisper-large-v3,es_419,nontonal_high,21,32,0.958406,264
whisper-large-v3,es_419,nontonal_high,22,32,0.949447,264
whisper-large-v3,es_419,nontonal_high,23,32,0.947173,264
whisper-large-v3,es_419,nontonal_high,24,32,0.939452,264
whisper-large-v3,es_419,nontonal_high,25,32,0.92335,264
whisper-large-v3,es_419,nontonal_high,26,32,0.928641,264
whisper-large-v3,es_419,nontonal_high,27,32,0.910177,264
whisper-large-v3,es_419,nontonal_high,28,32,0.894829,264
whisper-large-v3,es_419,nontonal_high,29,32,0.90588,264
whisper-large-v3,es_419,nontonal_high,30,32,0.904548,264
whisper-large-v3,es_419,nontonal_high,31,32,0.900423,264
whisper-large-v3,es_419,nontonal_high,32,32,0.903548,264
whisper-large-v3,vi_vn,tonal_mid,1,32,0.972558,264
whisper-large-v3,vi_vn,tonal_mid,2,32,0.940538,264
whisper-large-v3,vi_vn,tonal_mid,3,32,0.9569,264
whisper-large-v3,vi_vn,tonal_mid,4,32,0.950226,264
whisper-large-v3,vi_vn,tonal_mid,5,32,0.942871,264
whisper-large-v3,vi_vn,tonal_mid,6,32,0.96018,264
whisper-large-v3,vi_vn,tonal_mid,7,32,0.950639,264
whisper-large-v3,vi_vn,tonal_mid,8,32,0.928712,264
whisper-large-v3,vi_vn,tonal_mid,9,32,0.935742,264
whisper-large-v3,vi_vn,tonal_mid,10,32,0.925529,264
whisper-large-v3,vi_vn,tonal_mid,11,32,0.96537,264
whisper-large-v3,vi_vn,tonal_mid,12,32,0.946576,264
whisper-large-v3,vi_vn,tonal_mid,13,32,0.94122,264
whisper-large-v3,vi_vn,tonal_mid,14,32,0.962559,264
whisper-large-v3,vi_vn,tonal_mid,15,32,0.94253,264
whisper-large-v3,vi_vn,tonal_mid,16,32,0.958372,264
whisper-large-v3,vi_vn,tonal_mid,17,32,0.962923,264
whisper-large-v3,vi_vn,tonal_mid,18,32,0.950502,264
whisper-large-v3,vi_vn,tonal_mid,19,32,0.958232,264
whisper-large-v3,vi_vn,tonal_mid,20,32,0.955021,264
whisper-large-v3,vi_vn,tonal_mid,21,32,0.960735,264
whisper-large-v3,vi_vn,tonal_mid,22,32,0.952378,264
whisper-large-v3,vi_vn,tonal_mid,23,32,0.949678,264
whisper-large-v3,vi_vn,tonal_mid,24,32,0.940909,264
whisper-large-v3,vi_vn,tonal_mid,25,32,0.923103,264
whisper-large-v3,vi_vn,tonal_mid,26,32,0.926321,264
