model,lang_id,group,layer,n_layers,cos_mean,n_samples
whisper-medium,en_us,nontonal_high,1,24,0.931369,264
whisper-medium,en_us,nontonal_high,2,24,0.951201,264
whisper-medium,en_us,nontonal_high,3,24,0.961556,264
whisper-medium,en_us,nontonal_high,4,24,0.967811,264
whisper-medium,en_us,nontonal_high,5,24,0.946048,264
whisper-medium,en_us,nontonal_high,6,24,0.950203,264
whisper-medium,en_us,nontonal_high,7,24,0.942838,264
whisper-medium,en_us,nontonal_high,8,24,0.941388,264
whisper-medium,en_us,nontonal_high,9,24,0.907567,264
whisper-medium,en_us,nontonal_high,10,24,0.879364,264
whisper-medium,en_us,nontonal_high,11,24,0.879367,264
whisper-medium,en_us,nontonal_high,12,24,0.834509,264
whisper-medium,en_us,nontonal_high,13,24,0.817331,264
whisper-medium,en_us,nontonal_high,14,24,0.825983,264
whisper-medium,en_us,nontonal_high,15,24,0.816503,264
whisper-medium,en_us,nontonal_high,16,24,0.7848,264
whisper-medium,en_us,nontonal_high,17,24,0.804685,264
whisper-medium,en_us,nontonal_high,18,24,0.784377,264
whisper-medium,en_us,nontonal_high,19,24,0.830341,264
whisper-medium,en_us,nontonal_high,20,24,0.812582,264
whisper-medium,en_us,nontonal_high,21,24,0.798239,264
whisper-medium,en_us,nontonal_high,22,24,0.796678,264
whisper-medium,en_us,nontonal_high,23,24,0.83729,264
whisper-medium,en_us,nontonal_high,24,24,0.837968,264
whisper-medium,fr_fr,?,1,24,0.92625,264
whisper-medium,fr_fr,?,2,24,0.94733,264
whisper-medium,fr_fr,?,3,24,0.956454,264
whisper-medium,fr_fr,?,4,24,0.961937,264
whisper-medium,fr_fr,?,5,24,0.938283,264
whisper-medium,fr_fr,?,6,24,0.944627,264
whisper-medium,fr_fr,?,7,24,0.937799,264
whisper-medium,fr_fr,?,8,24,0.936937,264
whisper-medium,fr_fr,?,9,24,0.900022,264
whisper-medium,fr_fr,?,10,24,0.869772,264
whisper-medium,fr_fr,?,11,24,0.869039,264
whisper-medium,fr_fr,?,12,24,0.817544,264
whisper-medium,fr_fr,?,13,24,0.801507,264
whisper-medium,fr_fr,?,14,24,0.807282,264
whisper-medium,fr_fr,?,15,24,0.800588,264
whisper-medium,fr_fr,?,16,24,0.766847,264
whisper-medium,fr_fr,?,17,24,0.781905,264
whisper-medium,fr_fr,?,18,24,0.764975,264
whisper-medium,fr_fr,?,19,24,0.80898,264
whisper-medium,fr_fr,?,20,24,0.797669,264
whisper-medium,fr_fr,?,21,24,0.774123,264
whisper-medium,fr_fr,?,22,24,0.774736,264
whisper-medium,fr_fr,?,23,24,0.821576,264
whisper-medium,fr_fr,?,24,24,0.81779,264
whisper-medium,de_de,nontonal_high,1,24,0.923407,264
whisper-medium,de_de,nontonal_high,2,24,0.93741,264
whisper-medium,de_de,nontonal_high,3,24,0.94711,264
whisper-medium,de_de,nontonal_high,4,24,0.956149,264
whisper-medium,de_de,nontonal_high,5,24,0.925155,264
whisper-medium,de_de,nontonal_high,6,24,0.933957,264
whisper-medium,de_de,nontonal_high,7,24,0.927655,264
whisper-medium,de_de,nontonal_high,8,24,0.928475,264
whisper-medium,de_de,nontonal_high,9,24,0.890031,264
whisper-medium,de_de,nontonal_high,10,24,0.86077,264
whisper-medium,de_de,nontonal_high,11,24,0.859464,264
whisper-medium,de_de,nontonal_high,12,24,0.8039,264
whisper-medium,de_de,nontonal_high,13,24,0.784682,264
whisper-medium,de_de,nontonal_high,14,24,0.795957,264
whisper-medium,de_de,nontonal_high,15,24,0.785523,264
whisper-medium,de_de,nontonal_high,16,24,0.757183,264
whisper-medium,de_de,nontonal_high,17,24,0.773105,264
whisper-medium,de_de,nontonal_high,18,24,0.752565,264
whisper-medium,de_de,nontonal_high,19,24,0.798748,264
whisper-medium,de_de,nontonal_high,20,24,0.78532,264
whisper-medium,de_de,nontonal_high,21,24,0.760854,264
whisper-medium,de_de,nontonal_high,22,24,0.760511,264
whisper-medium,de_de,nontonal_high,23,24,0.804685,264
whisper-medium,de_de,nontonal_high,24,24,0.805,264
whisper-medium,es_419,nontonal_high,1,24,0.921969,264
whisper-medium,es_419,nontonal_high,2,24,0.939281,264
whisper-medium,es_419,nontonal_high,3,24,0.948729,264
whisper-medium,es_419,nontonal_high,4,24,0.955652,264
whisper-medium,es_419,nontonal_high,5,24,0.926622,264
whisper-medium,es_419,nontonal_high,6,24,0.935672,264
whisper-medium,es_419,nontonal_high,7,24,0.929096,264
whisper-medium,es_419,nontonal_high,8,24,0.929187,264
whisper-medium,es_419,nontonal_high,9,24,0.895583,264
whisper-medium,es_419,nontonal_high,10,24,0.862912,264
whisper-medium,es_419,nontonal_high,11,24,0.865688,264
whisper-medium,es_419,nontonal_high,12,24,0.810937,264
whisper-medium,es_419,nontonal_high,13,24,0.791505,264
whisper-medium,es_419,nontonal_high,14,24,0.808285,264
whisper-medium,es_419,nontonal_high,15,24,0.795984,264
whisper-medium,es_419,nontonal_high,16,24,0.766729,264
whisper-medium,es_419,nontonal_high,17,24,0.778506,264
whisper-medium,es_419,nontonal_high,18,24,0.762708,264
whisper-medium,es_419,nontonal_high,19,24,0.811614,264
whisper-medium,es_419,nontonal_high,20,24,0.793672,264
whisper-medium,es_419,nontonal_high,21,24,0.773271,264
whisper-medium,es_419,nontonal_high,22,24,0.77356,264
whisper-medium,es_419,nontonal_high,23,24,0.818097,264
whisper-medium,es_419,nontonal_high,24,24,0.815707,264
whisper-medium,vi_vn,tonal_mid,1,24,0.926706,264
whisper-medium,vi_vn,tonal_mid,2,24,0.946716,264
whisper-medium,vi_vn,tonal_mid,3,24,0.953081,264
whisper-medium,vi_vn,tonal_mid,4,24,0.959969,264
whisper-medium,vi_vn,tonal_mid,5,24,0.931158,264
whisper-medium,vi_vn,tonal_mid,6,24,0.942155,264
whisper-medium,vi_vn,tonal_mid,7,24,0.934592,264
whisper-medium,vi_vn,tonal_mid,8,24,0.935127,264
whisper-medium,vi_vn,tonal_mid,9,24,0.895582,264
whisper-medium,vi_vn,tonal_mid,10,24,0.865294,264
whisper-medium,vi_vn,tonal_mid,11,24,0.860104,264
whisper-medium,vi_vn,tonal_mid,12,24,0.807777,264
whisper-medium,vi_vn,tonal_mid,13,24,0.788597,264
whisper-medium,vi_vn,tonal_mid,14,24,0.799557,264
whisper-medium,vi_vn,tonal_mid,15,24,0.790311,264
whisper-medium,vi_vn,tonal_mid,16,24,0.753347,264
whisper-medium,vi_vn,tonal_mid,17,24,0.766476,264
whisper-medium,vi_vn,tonal_mid,18,24,0.751583,264
whisper-medium,vi_vn,tonal_mid,19,24,0.79267,264
whisper-medium,vi_vn,tonal_mid,20,24,0.778803,264
whisper-medium,vi_vn,tonal_mid,21,24,0.752877,264
whisper-medium,vi_vn,tonal_mid,22,24,0.761094,264
whisper-medium,vi_vn,tonal_mid,23,24,0.801993,264
whisper-medium,vi_vn,tonal_mid,24,24,0.801257,264
whisper-medium,ta_in,?,1,24,0.923678,264
whisper-medium,ta_in,?,2,24,0.935277,264
whisper-medium,ta_in,?,3,24,0.945901,264
whisper-medium,ta_in,?,4,24,0.952781,264
whisper-medium,ta_in,?,5,24,0.922726,264
whisper-medium,ta_in,?,6,24,0.932172,264
whisper-medium,ta_in,?,7,24,0.925076,264
whisper-medium,ta_in,?,8,24,0.92553,264
whisper-medium,ta_in,?,9,24,0.898384,264
whisper-medium,ta_in,?,10,24,0.866093,264
whisper-medium,ta_in,?,11,24,0.868516,264
whisper-medium,ta_in,?,12,24,0.81436,264
whisper-medium,ta_in,?,13,24,0.795297,264
whisper-medium,ta_in,?,14,24,0.811983,264
whisper-medium,ta_in,?,15,24,0.799673,264
whisper-medium,ta_in,?,16,24,0.765912,264
whisper-medium,ta_in,?,17,24,0.780837,264
whisper-medium,ta_in,?,18,24,0.765704,264
whisper-medium,ta_in,?,19,24,0.812376,264
whisper-medium,ta_in,?,20,24,0.795926,264
whisper-medium,ta_in,?,21,24,0.773318,264
whisper-medium,ta_in,?,22,24,0.774306,264
whisper-medium,ta_in,?,23,24,0.820488,264
whisper-medium,ta_in,?,24,24,0.811593,264
whisper-medium,cy_gb,?,1,24,0.922007,264
whisper-medium,cy_gb,?,2,24,0.929598,264
whisper-medium,cy_gb,?,3,24,0.941789,264
whisper-medium,cy_gb,?,4,24,0.95212,264
whisper-medium,cy_gb,?,5,24,0.920216,264
whisper-medium,cy_gb,?,6,24,0.930402,264
whisper-medium,cy_gb,?,7,24,0.923495,264
whisper-medium,cy_gb,?,8,24,0.92519,264
whisper-medium,cy_gb,?,9,24,0.894437,264
whisper-medium,cy_gb,?,10,24,0.863301,264
whisper-medium,cy_gb,?,11,24,0.865702,264
whisper-medium,cy_gb,?,12,24,0.80659,264
whisper-medium,cy_gb,?,13,24,0.788452,264
whisper-medium,cy_gb,?,14,24,0.802139,264
whisper-medium,cy_gb,?,15,24,0.787968,264
whisper-medium,cy_gb,?,16,24,0.744295,264
whisper-medium,cy_gb,?,17,24,0.745963,264
whisper-medium,cy_gb,?,18,24,0.736631,264
whisper-medium,cy_gb,?,19,24,0.779191,264
whisper-medium,cy_gb,?,20,24,0.774922,264
whisper-medium,cy_gb,?,21,24,0.748923,264
whisper-medium,cy_gb,?,22,24,0.754893,264
whisper-medium,cy_gb,?,23,24,0.803795,264
whisper-medium,cy_gb,?,24,24,0.805184,264
whisper-medium,th_th,tonal_mid,1,24,0.926382,264
whisper-medium,th_th,tonal_mid,2,24,0.939273,264
whisper-medium,th_th,tonal_mid,3,24,0.949355,264
whisper-medium,th_th,tonal_mid,4,24,0.957206,264
whisper-medium,th_th,tonal_mid,5,24,0.93283,264
whisper-medium,th_th,tonal_mid,6,24,0.937891,264
whisper-medium,th_th,tonal_mid,7,24,0.933033,264
whisper-medium,th_th,tonal_mid,8,24,0.932743,264
whisper-medium,th_th,tonal_mid,9,24,0.901656,264
whisper-medium,th_th,tonal_mid,10,24,0.869644,264
whisper-medium,th_th,tonal_mid,11,24,0.870372,264
whisper-medium,th_th,tonal_mid,12,24,0.816347,264
whisper-medium,th_th,tonal_mid,13,24,0.798144,264
whisper-medium,th_th,tonal_mid,14,24,0.815202,264
whisper-medium,th_th,tonal_mid,15,24,0.800246,264
whisper-medium,th_th,tonal_mid,16,24,0.772287,264
whisper-medium,th_th,tonal_mid,17,24,0.779744,264
whisper-medium,th_th,tonal_mid,18,24,0.765448,264
whisper-medium,th_th,tonal_mid,19,24,0.810655,264
whisper-medium,th_th,tonal_mid,20,24,0.798012,264
whisper-medium,th_th,tonal_mid,21,24,0.776649,264
whisper-medium,th_th,tonal_mid,22,24,0.771483,264
whisper-medium,th_th,tonal_mid,23,24,0.819458,264
whisper-medium,th_th,tonal_mid,24,24,0.813958,264
whisper-medium,af_za,?,1,24,0.9231,264
whisper-medium,af_za,?,2,24,0.938363,264
whisper-medium,af_za,?,3,24,0.949061,264
whisper-medium,af_za,?,4,24,0.956776,264
whisper-medium,af_za,?,5,24,0.92889,264
whisper-medium,af_za,?,6,24,0.936911,264
whisper-medium,af_za,?,7,24,0.93098,264
whisper-medium,af_za,?,8,24,0.929819,264
whisper-medium,af_za,?,9,24,0.8992,264
whisper-medium,af_za,?,10,24,0.86998,264
whisper-medium,af_za,?,11,24,0.869737,264
whisper-medium,af_za,?,12,24,0.814599,264
whisper-medium,af_za,?,13,24,0.796349,264
whisper-medium,af_za,?,14,24,0.806937,264
whisper-medium,af_za,?,15,24,0.789226,264
whisper-medium,af_za,?,16,24,0.753892,264
whisper-medium,af_za,?,17,24,0.768995,264
whisper-medium,af_za,?,18,24,0.752292,264
whisper-medium,af_za,?,19,24,0.797429,264
whisper-medium,af_za,?,20,24,0.78749,264
whisper-medium,af_za,?,21,24,0.760825,264
whisper-medium,af_za,?,22,24,0.763157,264
whisper-medium,af_za,?,23,24,0.81282,264
whisper-medium,af_za,?,24,24,0.806599,264
whisper-medium,is_is,?,1,24,0.923404,264
whisper-medium,is_is,?,2,24,0.938995,264
whisper-medium,is_is,?,3,24,0.948441,264
whisper-medium,is_is,?,4,24,0.956664,264
whisper-medium,is_is,?,5,24,0.923255,264
whisper-medium,is_is,?,6,24,0.934659,264
whisper-medium,is_is,?,7,24,0.926405,264
whisper-medium,is_is,?,8,24,0.927195,264
whisper-medium,is_is,?,9,24,0.896223,264
whisper-medium,is_is,?,10,24,0.86464,264
whisper-medium,is_is,?,11,24,0.86736,264
whisper-medium,is_is,?,12,24,0.810603,264
whisper-medium,is_is,?,13,24,0.789905,264
whisper-medium,is_is,?,14,24,0.804001,264
whisper-medium,is_is,?,15,24,0.788047,264
whisper-medium,is_is,?,16,24,0.743259,264
whisper-medium,is_is,?,17,24,0.759069,264
whisper-medium,is_is,?,18,24,0.742278,264
whisper-medium,is_is,?,19,24,0.791977,264
whisper-medium,is_is,?,20,24,0.78162,264
whisper-medium,is_is,?,21,24,0.755452,264
whisper-medium,is_is,?,22,24,0.759658,264
whisper-medium,is_is,?,23,24,0.809878,264
whisper-medium,is_is,?,24,24,0.804268,264
whisper-medium,sw_ke,nontonal_mid,1,24,0.927251,264
whisper-medium,sw_ke,nontonal_mid,2,24,0.936473,264
whisper-medium,sw_ke,nontonal_mid,3,24,0.947322,264
whisper-medium,sw_ke,nontonal_mid,4,24,0.955,264
whisper-medium,sw_ke,nontonal_mid,5,24,0.923071,264
whisper-medium,sw_ke,nontonal_mid,6,24,0.93546,264
whisper-medium,sw_ke,nontonal_mid,7,24,0.927638,264
whisper-medium,sw_ke,nontonal_mid,8,24,0.926579,264
whisper-medium,sw_ke,nontonal_mid,9,24,0.890928,264
whisper-medium,sw_ke,nontonal_mid,10,24,0.858746,264
whisper-medium,sw_ke,nontonal_mid,11,24,0.857258,264
whisper-medium,sw_ke,nontonal_mid,12,24,0.796464,264
whisper-medium,sw_ke,nontonal_mid,13,24,0.777482,264
whisper-medium,sw_ke,nontonal_mid,14,24,0.789134,264
whisper-medium,sw_ke,nontonal_mid,15,24,0.775779,264
whisper-medium,sw_ke,nontonal_mid,16,24,0.738039,264
whisper-medium,sw_ke,nontonal_mid,17,24,0.750486,264
whisper-medium,sw_ke,nontonal_mid,18,24,0.725686,264
whisper-medium,sw_ke,nontonal_mid,19,24,0.787583,264
whisper-medium,sw_ke,nontonal_mid,20,24,0.769372,264
whisper-medium,sw_ke,nontonal_mid,21,24,0.731613,264
whisper-medium,sw_ke,nontonal_mid,22,24,0.747054,264
whisper-medium,sw_ke,nontonal_mid,23,24,0.795591,264
whisper-medium,sw_ke,nontonal_mid,24,24,0.791162,264
whisper-medium,kk_kz,?,1,24,0.927412,264
whisper-medium,kk_kz,?,2,24,0.938055,264
whisper-medium,kk_kz,?,3,24,0.947892,264
whisper-medium,kk_kz,?,4,24,0.956613,264
whisper-medium,kk_kz,?,5,24,0.926142,264
whisper-medium,kk_kz,?,6,24,0.934459,264
whisper-medium,kk_kz,?,7,24,0.928037,264
whisper-medium,kk_kz,?,8,24,0.926403,264
whisper-medium,kk_kz,?,9,24,0.890455,264
whisper-medium,kk_kz,?,10,24,0.858628,264
whisper-medium,kk_kz,?,11,24,0.858544,264
whisper-medium,kk_kz,?,12,24,0.794442,264
whisper-medium,kk_kz,?,13,24,0.77235,264
whisper-medium,kk_kz,?,14,24,0.792043,264
whisper-medium,kk_kz,?,15,24,0.774389,264
whisper-medium,kk_kz,?,16,24,0.736963,264
whisper-medium,kk_kz,?,17,24,0.755253,264
whisper-medium,kk_kz,?,18,24,0.744232,264
whisper-medium,kk_kz,?,19,24,0.785112,264
whisper-medium,kk_kz,?,20,24,0.766037,264
whisper-medium,kk_kz,?,21,24,0.738425,264
whisper-medium,kk_kz,?,22,24,0.745063,264
whisper-medium,kk_kz,?,23,24,0.793898,264
whisper-medium,kk_kz,?,24,24,0.787605,264
whisper-medium,jv_id,?,1,24,0.923468,264
whisper-medium,jv_id,?,2,24,0.939625,264
whisper-medium,jv_id,?,3,24,0.947713,264
whisper-medium,jv_id,?,4,24,0.95351,264
whisper-medium,jv_id,?,5,24,0.920725,264
whisper-medium,jv_id,?,6,24,0.933173,264
whisper-medium,jv_id,?,7,24,0.925852,264
whisper-medium,jv_id,?,8,24,0.925925,264
whisper-medium,jv_id,?,9,24,0.889131,264
whisper-medium,jv_id,?,10,24,0.858656,264
whisper-medium,jv_id,?,11,24,0.859492,264
whisper-medium,jv_id,?,12,24,0.798944,264
whisper-medium,jv_id,?,13,24,0.776876,264
whisper-medium,jv_id,?,14,24,0.797641,264
whisper-medium,jv_id,?,15,24,0.77716,264
whisper-medium,jv_id,?,16,24,0.753063,264
whisper-medium,jv_id,?,17,24,0.762004,264
whisper-medium,jv_id,?,18,24,0.741713,264
whisper-medium,jv_id,?,19,24,0.795209,264
whisper-medium,jv_id,?,20,24,0.776921,264
whisper-medium,jv_id,?,21,24,0.750145,264
whisper-medium,jv_id,?,22,24,0.749483,264
whisper-medium,jv_id,?,23,24,0.802928,264
whisper-medium,jv_id,?,24,24,0.800431,264
whisper-medium,mt_mt,?,1,24,0.925119,264
whisper-medium,mt_mt,?,2,24,0.934099,264
whisper-medium,mt_mt,?,3,24,0.945261,264
whisper-medium,mt_mt,?,4,24,0.954368,264
whisper-medium,mt_mt,?,5,24,0.923336,264
whisper-medium,mt_mt,?,6,24,0.932898,264
whisper-medium,mt_mt,?,7,24,0.926843,264
whisper-medium,mt_mt,?,8,24,0.926359,264
whisper-medium,mt_mt,?,9,24,0.889113,264
whisper-medium,mt_mt,?,10,24,0.858482,264
whisper-medium,mt_mt,?,11,24,0.858086,264
whisper-medium,mt_mt,?,12,24,0.795836,264
whisper-medium,mt_mt,?,13,24,0.773879,264
whisper-medium,mt_mt,?,14,24,0.793238,264
whisper-medium,mt_mt,?,15,24,0.775926,264
whisper-medium,mt_mt,?,16,24,0.740989,264
whisper-medium,mt_mt,?,17,24,0.756822,264
whisper-medium,mt_mt,?,18,24,0.734657,264
whisper-medium,mt_mt,?,19,24,0.792271,264
whisper-medium,mt_mt,?,20,24,0.775136,264
whisper-medium,mt_mt,?,21,24,0.741332,264
whisper-medium,mt_mt,?,22,24,0.749972,264
whisper-medium,mt_mt,?,23,24,0.800192,264
whisper-medium,mt_mt,?,24,24,0.797496,264
whisper-medium,ln_cd,tonal_low,1,24,0.92315,264
whisper-medium,ln_cd,tonal_low,2,24,0.925288,264
whisper-medium,ln_cd,tonal_low,3,24,0.93589,264
whisper-medium,ln_cd,tonal_low,4,24,0.945984,264
whisper-medium,ln_cd,tonal_low,5,24,0.90783,264
whisper-medium,ln_cd,tonal_low,6,24,0.923137,264
whisper-medium,ln_cd,tonal_low,7,24,0.915612,264
whisper-medium,ln_cd,tonal_low,8,24,0.916857,264
whisper-medium,ln_cd,tonal_low,9,24,0.876023,264
whisper-medium,ln_cd,tonal_low,10,24,0.841478,264
whisper-medium,ln_cd,tonal_low,11,24,0.841625,264
whisper-medium,ln_cd,tonal_low,12,24,0.773762,264
whisper-medium,ln_cd,tonal_low,13,24,0.750412,264
whisper-medium,ln_cd,tonal_low,14,24,0.760474,264
whisper-medium,ln_cd,tonal_low,15,24,0.742457,264
whisper-medium,ln_cd,tonal_low,16,24,0.699492,264
whisper-medium,ln_cd,tonal_low,17,24,0.719218,264
whisper-medium,ln_cd,tonal_low,18,24,0.697875,264
whisper-medium,ln_cd,tonal_low,19,24,0.764328,264
whisper-medium,ln_cd,tonal_low,20,24,0.744377,264
whisper-medium,ln_cd,tonal_low,21,24,0.70198,264
