model,lang_id,group,layer,n_layers,cos_mean,n_samples
whisper-small,en_us,nontonal_high,1,12,0.946558,264
whisper-small,en_us,nontonal_high,2,12,0.951233,264
whisper-small,en_us,nontonal_high,3,12,0.974323,264
whisper-small,en_us,nontonal_high,4,12,0.970182,264
whisper-small,en_us,nontonal_high,5,12,0.918158,264
whisper-small,en_us,nontonal_high,6,12,0.958398,264
whisper-small,en_us,nontonal_high,7,12,0.899349,264
whisper-small,en_us,nontonal_high,8,12,0.887255,264
whisper-small,en_us,nontonal_high,9,12,0.844472,264
whisper-small,en_us,nontonal_high,10,12,0.833646,264
whisper-small,en_us,nontonal_high,11,12,0.82998,264
whisper-small,en_us,nontonal_high,12,12,0.845318,264
whisper-small,fr_fr,?,1,12,0.941768,264
whisper-small,fr_fr,?,2,12,0.944859,264
whisper-small,fr_fr,?,3,12,0.971121,264
whisper-small,fr_fr,?,4,12,0.965973,264
whisper-small,fr_fr,?,5,12,0.906728,264
whisper-small,fr_fr,?,6,12,0.955195,264
whisper-small,fr_fr,?,7,12,0.892735,264
whisper-small,fr_fr,?,8,12,0.88146,264
whisper-small,fr_fr,?,9,12,0.839613,264
whisper-small,fr_fr,?,10,12,0.823144,264
whisper-small,fr_fr,?,11,12,0.818455,264
whisper-small,fr_fr,?,12,12,0.837088,264
whisper-small,de_de,nontonal_high,1,12,0.939194,264
whisper-small,de_de,nontonal_high,2,12,0.932874,264
whisper-small,de_de,nontonal_high,3,12,0.9667,264
whisper-small,de_de,nontonal_high,4,12,0.959746,264
whisper-small,de_de,nontonal_high,5,12,0.890924,264
whisper-small,de_de,nontonal_high,6,12,0.950347,264
whisper-small,de_de,nontonal_high,7,12,0.886549,264
whisper-small,de_de,nontonal_high,8,12,0.873306,264
whisper-small,de_de,nontonal_high,9,12,0.82443,264
whisper-small,de_de,nontonal_high,10,12,0.816821,264
whisper-small,de_de,nontonal_high,11,12,0.814757,264
whisper-small,de_de,nontonal_high,12,12,0.827828,264
whisper-small,es_419,nontonal_high,1,12,0.93796,264
whisper-small,es_419,nontonal_high,2,12,0.935613,264
whisper-small,es_419,nontonal_high,3,12,0.965912,264
whisper-small,es_419,nontonal_high,4,12,0.959234,264
whisper-small,es_419,nontonal_high,5,12,0.891115,264
whisper-small,es_419,nontonal_high,6,12,0.951284,264
whisper-small,es_419,nontonal_high,7,12,0.885509,264
whisper-small,es_419,nontonal_high,8,12,0.88029,264
whisper-small,es_419,nontonal_high,9,12,0.829832,264
whisper-small,es_419,nontonal_high,10,12,0.821447,264
whisper-small,es_419,nontonal_high,11,12,0.820475,264
whisper-small,es_419,nontonal_high,12,12,0.837656,264
whisper-small,vi_vn,tonal_mid,1,12,0.941866,264
whisper-small,vi_vn,tonal_mid,2,12,0.938233,264
whisper-small,vi_vn,tonal_mid,3,12,0.969442,264
whisper-small,vi_vn,tonal_mid,4,12,0.96357,264
whisper-small,vi_vn,tonal_mid,5,12,0.897857,264
whisper-small,vi_vn,tonal_mid,6,12,0.953324,264
whisper-small,vi_vn,tonal_mid,7,12,0.892738,264
whisper-small,vi_vn,tonal_mid,8,12,0.876397,264
whisper-small,vi_vn,tonal_mid,9,12,0.819787,264
whisper-small,vi_vn,tonal_mid,10,12,0.806341,264
whisper-small,vi_vn,tonal_mid,11,12,0.806522,264
whisper-small,vi_vn,tonal_mid,12,12,0.827257,264
whisper-small,ta_in,?,1,12,0.939022,264
whisper-small,ta_in,?,2,12,0.929651,264
whisper-small,ta_in,?,3,12,0.964474,264
whisper-small,ta_in,?,4,12,0.957304,264
whisper-small,ta_in,?,5,12,0.885174,264
whisper-small,ta_in,?,6,12,0.951125,264
whisper-small,ta_in,?,7,12,0.886044,264
whisper-small,ta_in,?,8,12,0.879182,264
whisper-small,ta_in,?,9,12,0.832184,264
whisper-small,ta_in,?,10,12,0.822836,264
whisper-small,ta_in,?,11,12,0.823742,264
whisper-small,ta_in,?,12,12,0.838157,264
whisper-small,cy_gb,?,1,12,0.938478,264
whisper-small,cy_gb,?,2,12,0.925942,264
whisper-small,cy_gb,?,3,12,0.962655,264
whisper-small,cy_gb,?,4,12,0.957158,264
whisper-small,cy_gb,?,5,12,0.885715,264
whisper-small,cy_gb,?,6,12,0.951465,264
whisper-small,cy_gb,?,7,12,0.889007,264
whisper-small,cy_gb,?,8,12,0.876838,264
whisper-small,cy_gb,?,9,12,0.825973,264
whisper-small,cy_gb,?,10,12,0.816068,264
whisper-small,cy_gb,?,11,12,0.818527,264
whisper-small,cy_gb,?,12,12,0.831578,264
whisper-small,th_th,tonal_mid,1,12,0.941926,264
whisper-small,th_th,tonal_mid,2,12,0.936503,264
whisper-small,th_th,tonal_mid,3,12,0.96667,264
whisper-small,th_th,tonal_mid,4,12,0.961338,264
whisper-small,th_th,tonal_mid,5,12,0.897817,264
whisper-small,th_th,tonal_mid,6,12,0.953391,264
whisper-small,th_th,tonal_mid,7,12,0.889961,264
whisper-small,th_th,tonal_mid,8,12,0.880695,264
whisper-small,th_th,tonal_mid,9,12,0.827109,264
whisper-small,th_th,tonal_mid,10,12,0.820246,264
whisper-small,th_th,tonal_mid,11,12,0.820544,264
whisper-small,th_th,tonal_mid,12,12,0.839714,264
whisper-small,af_za,?,1,12,0.939555,264
whisper-small,af_za,?,2,12,0.933752,264
whisper-small,af_za,?,3,12,0.967458,264
whisper-small,af_za,?,4,12,0.961245,264
whisper-small,af_za,?,5,12,0.894833,264
whisper-small,af_za,?,6,12,0.953619,264
whisper-small,af_za,?,7,12,0.889748,264
whisper-small,af_za,?,8,12,0.878079,264
whisper-small,af_za,?,9,12,0.829262,264
whisper-small,af_za,?,10,12,0.817409,264
whisper-small,af_za,?,11,12,0.818216,264
whisper-small,af_za,?,12,12,0.829955,264
whisper-small,is_is,?,1,12,0.93898,264
whisper-small,is_is,?,2,12,0.933973,264
whisper-small,is_is,?,3,12,0.966266,264
whisper-small,is_is,?,4,12,0.95916,264
whisper-small,is_is,?,5,12,0.890059,264
whisper-small,is_is,?,6,12,0.949776,264
whisper-small,is_is,?,7,12,0.885114,264
whisper-small,is_is,?,8,12,0.874858,264
whisper-small,is_is,?,9,12,0.821289,264
whisper-small,is_is,?,10,12,0.807982,264
whisper-small,is_is,?,11,12,0.812529,264
whisper-small,is_is,?,12,12,0.826661,264
whisper-small,sw_ke,nontonal_mid,1,12,0.942768,264
whisper-small,sw_ke,nontonal_mid,2,12,0.931361,264
whisper-small,sw_ke,nontonal_mid,3,12,0.966362,264
whisper-small,sw_ke,nontonal_mid,4,12,0.95873,264
whisper-small,sw_ke,nontonal_mid,5,12,0.89022,264
whisper-small,sw_ke,nontonal_mid,6,12,0.950232,264
whisper-small,sw_ke,nontonal_mid,7,12,0.885083,264
whisper-small,sw_ke,nontonal_mid,8,12,0.870599,264
whisper-small,sw_ke,nontonal_mid,9,12,0.817865,264
whisper-small,sw_ke,nontonal_mid,10,12,0.811536,264
whisper-small,sw_ke,nontonal_mid,11,12,0.808689,264
whisper-small,sw_ke,nontonal_mid,12,12,0.820907,264
whisper-small,kk_kz,?,1,12,0.943047,264
whisper-small,kk_kz,?,2,12,0.935229,264
whisper-small,kk_kz,?,3,12,0.966529,264
whisper-small,kk_kz,?,4,12,0.960073,264
whisper-small,kk_kz,?,5,12,0.88919,264
whisper-small,kk_kz,?,6,12,0.949196,264
whisper-small,kk_kz,?,7,12,0.882697,264
whisper-small,kk_kz,?,8,12,0.867634,264
whisper-small,kk_kz,?,9,12,0.807553,264
whisper-small,kk_kz,?,10,12,0.80501,264
whisper-small,kk_kz,?,11,12,0.805196,264
whisper-small,kk_kz,?,12,12,0.819716,264
whisper-small,jv_id,?,1,12,0.938851,264
whisper-small,jv_id,?,2,12,0.931973,264
whisper-small,jv_id,?,3,12,0.966009,264
whisper-small,jv_id,?,4,12,0.958086,264
whisper-small,jv_id,?,5,12,0.884351,264
whisper-small,jv_id,?,6,12,0.951379,264
whisper-small,jv_id,?,7,12,0.888002,264
whisper-small,jv_id,?,8,12,0.873493,264
whisper-small,jv_id,?,9,12,0.821459,264
whisper-small,jv_id,?,10,12,0.807892,264
whisper-small,jv_id,?,11,12,0.810654,264
whisper-small,jv_id,?,12,12,0.829772,264
whisper-small,mt_mt,?,1,12,0.940865,264
whisper-small,mt_mt,?,2,12,0.930753,264
whisper-small,mt_mt,?,3,12,0.964889,264
whisper-small,mt_mt,?,4,12,0.958607,264
whisper-small,mt_mt,?,5,12,0.887927,264
whisper-small,mt_mt,?,6,12,0.948527,264
whisper-small,mt_mt,?,7,12,0.882219,264
whisper-small,mt_mt,?,8,12,0.87107,264
whisper-small,mt_mt,?,9,12,0.81201,264
whisper-small,mt_mt,?,10,12,0.80953,264
whisper-small,mt_mt,?,11,12,0.807153,264
whisper-small,mt_mt,?,12,12,0.822173,264
whisper-small,ln_cd,tonal_low,1,12,0.938301,264
whisper-small,ln_cd,tonal_low,2,12,0.915312,264
whisper-small,ln_cd,tonal_low,3,12,0.959981,264
whisper-small,ln_cd,tonal_low,4,12,0.951099,264
whisper-small,ln_cd,tonal_low,5,12,0.868234,264
whisper-small,ln_cd,tonal_low,6,12,0.943978,264
whisper-small,ln_cd,tonal_low,7,12,0.875964,264
whisper-small,ln_cd,tonal_low,8,12,0.856444,264
whisper-small,ln_cd,tonal_low,9,12,0.791511,264
whisper-small,ln_cd,tonal_low,10,12,0.790842,264
whisper-small,ln_cd,tonal_low,11,12,0.785114,264
whisper-small,ln_cd,tonal_low,12,12,0.799667,264
whisper-small,ha_ng,tonal_low,1,12,0.936504,264
whisper-small,ha_ng,tonal_low,2,12,0.909608,264
whisper-small,ha_ng,tonal_low,3,12,0.955335,264
whisper-small,ha_ng,tonal_low,4,12,0.947233,264
whisper-small,ha_ng,tonal_low,5,12,0.863452,264
whisper-small,ha_ng,tonal_low,6,12,0.94104,264
whisper-small,ha_ng,tonal_low,7,12,0.872479,264
whisper-small,ha_ng,tonal_low,8,12,0.852636,264
whisper-small,ha_ng,tonal_low,9,12,0.790867,264
whisper-small,ha_ng,tonal_low,10,12,0.791332,264
whisper-small,ha_ng,tonal_low,11,12,0.787719,264
whisper-small,ha_ng,tonal_low,12,12,0.800635,264
