gpu,batch_size,torch,transformers,attn_impl,lang_id,method,trr,sample_idx,temp_c,dur_s,n_sil,n_sph,n_decoder_tokens,iter_idx,metric,ms
NVIDIA GeForce RTX 3080 Ti,1,2.6.0+cu124,5.5.3,sdpa,ha_ng,baseline,0.00,0,48,18.96,551,949,-1,0,enc,89.1556
NVIDIA GeForce RTX 3080 Ti,1,2.6.0+cu124,5.5.3,sdpa,ha_ng,baseline,0.00,0,48,18.96,551,949,-1,1,enc,88.7214
NVIDIA GeForce RTX 3080 Ti,1,2.6.0+cu124,5.5.3,sdpa,ha_ng,baseline,0.00,0,48,18.96,551,949,-1,2,enc,88.5821
NVIDIA GeForce RTX 3080 Ti,1,2.6.0+cu124,5.5.3,sdpa,ha_ng,baseline,0.00,0,48,18.96,551,949,-1,3,enc,88.7132
NVIDIA GeForce RTX 3080 Ti,1,2.6.0+cu124,5.5.3,sdpa,ha_ng,baseline,0.00,0,48,18.96,551,949,-1,4,enc,96.3021
NVIDIA GeForce RTX 3080 Ti,1,2.6.0+cu124,5.5.3,sdpa,ha_ng,baseline,0.00,0,48,18.96,551,949,-1,5,enc,91.6087
NVIDIA GeForce RTX 3080 Ti,1,2.6.0+cu124,5.5.3,sdpa,ha_ng,baseline,0.00,0,48,18.96,551,949,-1,6,enc,88.6944
NVIDIA GeForce RTX 3080 Ti,1,2.6.0+cu124,5.5.3,sdpa,ha_ng,baseline,0.00,0,48,18.96,551,949,-1,7,enc,88.6057
NVIDIA GeForce RTX 3080 Ti,1,2.6.0+cu124,5.5.3,sdpa,ha_ng,baseline,0.00,0,48,18.96,551,949,-1,8,enc,88.8819
NVIDIA GeForce RTX 3080 Ti,1,2.6.0+cu124,5.5.3,sdpa,ha_ng,baseline,0.00,0,48,18.96,551,949,-1,9,enc,88.8975
NVIDIA GeForce RTX 3080 Ti,1,2.6.0+cu124,5.5.3,sdpa,ha_ng,merged,0.20,0,48,18.96,551,949,-1,0,enc,83.3340
NVIDIA GeForce RTX 3080 Ti,1,2.6.0+cu124,5.5.3,sdpa,ha_ng,merged,0.20,0,48,18.96,551,949,-1,1,enc,82.9972
NVIDIA GeForce RTX 3080 Ti,1,2.6.0+cu124,5.5.3,sdpa,ha_ng,merged,0.20,0,48,18.96,551,949,-1,2,enc,82.0879
NVIDIA GeForce RTX 3080 Ti,1,2.6.0+cu124,5.5.3,sdpa,ha_ng,merged,0.20,0,48,18.96,551,949,-1,3,enc,81.1569
NVIDIA GeForce RTX 3080 Ti,1,2.6.0+cu124,5.5.3,sdpa,ha_ng,merged,0.20,0,48,18.96,551,949,-1,4,enc,80.7567
NVIDIA GeForce RTX 3080 Ti,1,2.6.0+cu124,5.5.3,sdpa,ha_ng,merged,0.20,0,48,18.96,551,949,-1,5,enc,80.7926
NVIDIA GeForce RTX 3080 Ti,1,2.6.0+cu124,5.5.3,sdpa,ha_ng,merged,0.20,0,48,18.96,551,949,-1,6,enc,81.0783
NVIDIA GeForce RTX 3080 Ti,1,2.6.0+cu124,5.5.3,sdpa,ha_ng,merged,0.20,0,48,18.96,551,949,-1,7,enc,80.9912
NVIDIA GeForce RTX 3080 Ti,1,2.6.0+cu124,5.5.3,sdpa,ha_ng,merged,0.20,0,48,18.96,551,949,-1,8,enc,80.5786
NVIDIA GeForce RTX 3080 Ti,1,2.6.0+cu124,5.5.3,sdpa,ha_ng,merged,0.20,0,48,18.96,551,949,-1,9,enc,81.2649
NVIDIA GeForce RTX 3080 Ti,1,2.6.0+cu124,5.5.3,sdpa,ha_ng,merged,0.30,0,48,18.96,551,949,-1,0,enc,76.6065
NVIDIA GeForce RTX 3080 Ti,1,2.6.0+cu124,5.5.3,sdpa,ha_ng,merged,0.30,0,48,18.96,551,949,-1,1,enc,76.0381
NVIDIA GeForce RTX 3080 Ti,1,2.6.0+cu124,5.5.3,sdpa,ha_ng,merged,0.30,0,48,18.96,551,949,-1,2,enc,75.6917
NVIDIA GeForce RTX 3080 Ti,1,2.6.0+cu124,5.5.3,sdpa,ha_ng,merged,0.30,0,48,18.96,551,949,-1,3,enc,75.3297
NVIDIA GeForce RTX 3080 Ti,1,2.6.0+cu124,5.5.3,sdpa,ha_ng,merged,0.30,0,48,18.96,551,949,-1,4,enc,75.4115
NVIDIA GeForce RTX 3080 Ti,1,2.6.0+cu124,5.5.3,sdpa,ha_ng,merged,0.30,0,48,18.96,551,949,-1,5,enc,75.7463
NVIDIA GeForce RTX 3080 Ti,1,2.6.0+cu124,5.5.3,sdpa,ha_ng,merged,0.30,0,48,18.96,551,949,-1,6,enc,75.4330
NVIDIA GeForce RTX 3080 Ti,1,2.6.0+cu124,5.5.3,sdpa,ha_ng,merged,0.30,0,48,18.96,551,949,-1,7,enc,75.7852
NVIDIA GeForce RTX 3080 Ti,1,2.6.0+cu124,5.5.3,sdpa,ha_ng,merged,0.30,0,48,18.96,551,949,-1,8,enc,75.5651
NVIDIA GeForce RTX 3080 Ti,1,2.6.0+cu124,5.5.3,sdpa,ha_ng,merged,0.30,0,48,18.96,551,949,-1,9,enc,76.1330
NVIDIA GeForce RTX 3080 Ti,1,2.6.0+cu124,5.5.3,sdpa,ha_ng,merged,0.40,0,48,18.96,551,949,-1,0,enc,70.8536
NVIDIA GeForce RTX 3080 Ti,1,2.6.0+cu124,5.5.3,sdpa,ha_ng,merged,0.40,0,48,18.96,551,949,-1,1,enc,70.8257
NVIDIA GeForce RTX 3080 Ti,1,2.6.0+cu124,5.5.3,sdpa,ha_ng,merged,0.40,0,48,18.96,551,949,-1,2,enc,70.2996
NVIDIA GeForce RTX 3080 Ti,1,2.6.0+cu124,5.5.3,sdpa,ha_ng,merged,0.40,0,48,18.96,551,949,-1,3,enc,70.6918
NVIDIA GeForce RTX 3080 Ti,1,2.6.0+cu124,5.5.3,sdpa,ha_ng,merged,0.40,0,48,18.96,551,949,-1,4,enc,71.0407
NVIDIA GeForce RTX 3080 Ti,1,2.6.0+cu124,5.5.3,sdpa,ha_ng,merged,0.40,0,48,18.96,551,949,-1,5,enc,70.5966
NVIDIA GeForce RTX 3080 Ti,1,2.6.0+cu124,5.5.3,sdpa,ha_ng,merged,0.40,0,48,18.96,551,949,-1,6,enc,70.6662
NVIDIA GeForce RTX 3080 Ti,1,2.6.0+cu124,5.5.3,sdpa,ha_ng,merged,0.40,0,48,18.96,551,949,-1,7,enc,70.7741
NVIDIA GeForce RTX 3080 Ti,1,2.6.0+cu124,5.5.3,sdpa,ha_ng,merged,0.40,0,48,18.96,551,949,-1,8,enc,71.2673
NVIDIA GeForce RTX 3080 Ti,1,2.6.0+cu124,5.5.3,sdpa,ha_ng,merged,0.40,0,48,18.96,551,949,-1,9,enc,71.5028
NVIDIA GeForce RTX 3080 Ti,1,2.6.0+cu124,5.5.3,sdpa,ha_ng,baseline,0.00,1,54,14.70,764,736,-1,0,enc,90.9700
NVIDIA GeForce RTX 3080 Ti,1,2.6.0+cu124,5.5.3,sdpa,ha_ng,baseline,0.00,1,54,14.70,764,736,-1,1,enc,90.3699
NVIDIA GeForce RTX 3080 Ti,1,2.6.0+cu124,5.5.3,sdpa,ha_ng,baseline,0.00,1,54,14.70,764,736,-1,2,enc,90.0864
NVIDIA GeForce RTX 3080 Ti,1,2.6.0+cu124,5.5.3,sdpa,ha_ng,baseline,0.00,1,54,14.70,764,736,-1,3,enc,90.0250
NVIDIA GeForce RTX 3080 Ti,1,2.6.0+cu124,5.5.3,sdpa,ha_ng,baseline,0.00,1,54,14.70,764,736,-1,4,enc,89.8662
NVIDIA GeForce RTX 3080 Ti,1,2.6.0+cu124,5.5.3,sdpa,ha_ng,baseline,0.00,1,54,14.70,764,736,-1,5,enc,89.5027
