gpu,batch_size,torch,transformers,attn_impl,lang_id,method,trr,n_samples,enc_mean_ms,enc_std_ms,enc_speedup_mean,enc_speedup_std,e2e_mean_ms,e2e_std_ms,e2e_speedup_mean,e2e_speedup_std
NVIDIA GeForce RTX 3080 Ti,1,2.6.0+cu124,5.5.3,sdpa,ha_ng,baseline,0.00,8,91.0013,0.8528,1.0000,0.0000,nan,nan,nan,nan
NVIDIA GeForce RTX 3080 Ti,1,2.6.0+cu124,5.5.3,sdpa,ha_ng,merged,0.20,8,83.0000,1.2091,1.0965,0.0113,nan,nan,nan,nan
NVIDIA GeForce RTX 3080 Ti,1,2.6.0+cu124,5.5.3,sdpa,ha_ng,merged,0.30,8,77.0693,0.8158,1.1808,0.0035,nan,nan,nan,nan
NVIDIA GeForce RTX 3080 Ti,1,2.6.0+cu124,5.5.3,sdpa,ha_ng,merged,0.40,8,72.0001,0.7211,1.2639,0.0033,nan,nan,nan,nan
NVIDIA GeForce RTX 3080 Ti,1,2.6.0+cu124,5.5.3,sdpa,jv_id,baseline,0.00,8,93.2626,0.5442,1.0000,0.0000,nan,nan,nan,nan
NVIDIA GeForce RTX 3080 Ti,1,2.6.0+cu124,5.5.3,sdpa,jv_id,merged,0.20,8,84.5351,0.4207,1.1032,0.0033,nan,nan,nan,nan
NVIDIA GeForce RTX 3080 Ti,1,2.6.0+cu124,5.5.3,sdpa,jv_id,merged,0.30,8,78.8674,0.5774,1.1825,0.0048,nan,nan,nan,nan
NVIDIA GeForce RTX 3080 Ti,1,2.6.0+cu124,5.5.3,sdpa,jv_id,merged,0.40,8,73.7936,0.6415,1.2639,0.0092,nan,nan,nan,nan
NVIDIA GeForce RTX 3080 Ti,1,2.6.0+cu124,5.5.3,sdpa,ln_cd,baseline,0.00,8,94.5561,0.3556,1.0000,0.0000,nan,nan,nan,nan
NVIDIA GeForce RTX 3080 Ti,1,2.6.0+cu124,5.5.3,sdpa,ln_cd,merged,0.20,8,85.6575,0.3416,1.1039,0.0046,nan,nan,nan,nan
NVIDIA GeForce RTX 3080 Ti,1,2.6.0+cu124,5.5.3,sdpa,ln_cd,merged,0.30,8,79.8747,0.4526,1.1838,0.0065,nan,nan,nan,nan
NVIDIA GeForce RTX 3080 Ti,1,2.6.0+cu124,5.5.3,sdpa,ln_cd,merged,0.40,8,74.5397,0.4822,1.2686,0.0062,nan,nan,nan,nan
NVIDIA GeForce RTX 3080 Ti,1,2.6.0+cu124,5.5.3,sdpa,mt_mt,baseline,0.00,8,95.1858,0.2892,1.0000,0.0000,nan,nan,nan,nan
NVIDIA GeForce RTX 3080 Ti,1,2.6.0+cu124,5.5.3,sdpa,mt_mt,merged,0.20,8,86.3898,0.5718,1.1018,0.0063,nan,nan,nan,nan
NVIDIA GeForce RTX 3080 Ti,1,2.6.0+cu124,5.5.3,sdpa,mt_mt,merged,0.30,8,80.6283,0.5396,1.1806,0.0068,nan,nan,nan,nan
NVIDIA GeForce RTX 3080 Ti,1,2.6.0+cu124,5.5.3,sdpa,mt_mt,merged,0.40,8,75.1085,0.4626,1.2673,0.0072,nan,nan,nan,nan
NVIDIA GeForce RTX 3080 Ti,1,2.6.0+cu124,5.5.3,sdpa,ta_in,baseline,0.00,8,95.6108,0.3115,1.0000,0.0000,nan,nan,nan,nan
NVIDIA GeForce RTX 3080 Ti,1,2.6.0+cu124,5.5.3,sdpa,ta_in,merged,0.20,8,86.5709,0.3301,1.1044,0.0061,nan,nan,nan,nan
NVIDIA GeForce RTX 3080 Ti,1,2.6.0+cu124,5.5.3,sdpa,ta_in,merged,0.30,8,80.8081,0.4410,1.1832,0.0078,nan,nan,nan,nan
NVIDIA GeForce RTX 3080 Ti,1,2.6.0+cu124,5.5.3,sdpa,ta_in,merged,0.40,8,75.3723,0.4494,1.2685,0.0072,nan,nan,nan,nan
NVIDIA GeForce RTX 3080 Ti,1,2.6.0+cu124,5.5.3,sdpa,vi_vn,baseline,0.00,8,95.7714,0.2902,1.0000,0.0000,nan,nan,nan,nan
NVIDIA GeForce RTX 3080 Ti,1,2.6.0+cu124,5.5.3,sdpa,vi_vn,merged,0.20,8,86.7282,0.3613,1.1043,0.0071,nan,nan,nan,nan
NVIDIA GeForce RTX 3080 Ti,1,2.6.0+cu124,5.5.3,sdpa,vi_vn,merged,0.30,8,80.9904,0.4235,1.1825,0.0079,nan,nan,nan,nan
NVIDIA GeForce RTX 3080 Ti,1,2.6.0+cu124,5.5.3,sdpa,vi_vn,merged,0.40,8,75.5134,0.4355,1.2683,0.0074,nan,nan,nan,nan
