lang_id,lang_name,tonal,resource,family,model,config,layers,trr,per_layer_r,wer,wer_delta,halluc_rate,halluc_n_high_cr,halluc_n_empty,mean_hyp_words,mean_ref_words,seq_len_final,n_samples,elapsed_s
de_de,German,False,High,Germanic,whisper-large-v3,baseline,[],0.0,0.0,0.053907,0.0,0.0,0,0,21.82,22.0,1500,264,515.9
de_de,German,False,High,Germanic,whisper-large-v3,A,"[2, 5, 8, 11, 14, 17, 20, 23, 26, 29]",0.05,0.005116,0.055442,0.001535,0.0,0,0,21.81,22.0,1430,264,494.4
de_de,German,False,High,Germanic,whisper-large-v3,A,"[2, 5, 8, 11, 14, 17, 20, 23, 26, 29]",0.1,0.010481,0.056295,0.002388,0.0,0,0,21.81,22.0,1355,264,481.4
de_de,German,False,High,Germanic,whisper-large-v3,A,"[2, 5, 8, 11, 14, 17, 20, 23, 26, 29]",0.2,0.022067,0.055271,0.001365,0.0,0,0,21.81,22.0,1205,264,447.9
de_de,German,False,High,Germanic,whisper-large-v3,A,"[2, 5, 8, 11, 14, 17, 20, 23, 26, 29]",0.3,0.035039,0.055271,0.001365,0.0,0,0,21.81,22.0,1054,264,414.5
de_de,German,False,High,Germanic,whisper-large-v3,A,"[2, 5, 8, 11, 14, 17, 20, 23, 26, 29]",0.4,0.0498,0.055101,0.001194,0.0,0,0,21.81,22.0,905,264,388.3
es_419,Spanish,False,High,Romance,whisper-large-v3,baseline,[],0.0,0.0,0.027477,0.0,0.0,0,0,25.69,25.82,1500,264,512.4
es_419,Spanish,False,High,Romance,whisper-large-v3,A,"[2, 5, 8, 11, 14, 17, 20, 23, 26, 29]",0.05,0.005116,0.02967,0.002192,0.0,0,0,25.62,25.82,1430,264,492.6
es_419,Spanish,False,High,Romance,whisper-large-v3,A,"[2, 5, 8, 11, 14, 17, 20, 23, 26, 29]",0.1,0.010481,0.02967,0.002192,0.0,0,0,25.62,25.82,1355,264,479.4
es_419,Spanish,False,High,Romance,whisper-large-v3,A,"[2, 5, 8, 11, 14, 17, 20, 23, 26, 29]",0.2,0.022067,0.029524,0.002046,0.0,0,0,25.62,25.82,1205,264,446.0
