lang_id,lang_name,tonal,resource,family,model,config,layers,trr,per_layer_r,wer,wer_delta,halluc_rate,halluc_n_high_cr,halluc_n_empty,mean_hyp_words,mean_ref_words,seq_len_final,n_samples,elapsed_s
vi_vn,Vietnamese,True,Medium,Austroasiatic,whisper-small,baseline,[],0.0,0.0,0.219215,0.0,0.0,0,0,30.37,30.38,1500,264,203.9
vi_vn,Vietnamese,True,Medium,Austroasiatic,whisper-small,A,"[2, 5, 8, 11]",0.05,0.012741,0.220457,0.001241,0.0,0,0,30.31,30.38,1427,264,194.7
vi_vn,Vietnamese,True,Medium,Austroasiatic,whisper-small,A,"[2, 5, 8, 11]",0.1,0.025996,0.221698,0.002483,0.0,0,0,30.31,30.38,1352,264,191.9
vi_vn,Vietnamese,True,Medium,Austroasiatic,whisper-small,A,"[2, 5, 8, 11]",0.2,0.054258,0.21785,-0.001365,0.0,0,0,30.38,30.38,1203,264,188.2
vi_vn,Vietnamese,True,Medium,Austroasiatic,whisper-small,A,"[2, 5, 8, 11]",0.3,0.085309,0.21934,0.000124,0.0,0,0,30.34,30.38,1052,264,186.0
vi_vn,Vietnamese,True,Medium,Austroasiatic,whisper-small,A,"[2, 5, 8, 11]",0.4,0.119888,0.21785,-0.001365,0.0,0,0,30.37,30.38,902,264,183.0
ha_ng,Hausa,True,Low,Chadic,whisper-small,baseline,[],0.0,0.0,0.884215,0.0,0.0,0,0,22.66,25.6,1500,264,208.1
ha_ng,Hausa,True,Low,Chadic,whisper-small,A,"[2, 5, 8, 11]",0.05,0.012741,0.883203,-0.001012,0.0,0,0,22.7,25.6,1427,264,205.9
ha_ng,Hausa,True,Low,Chadic,whisper-small,A,"[2, 5, 8, 11]",0.1,0.025996,0.886528,0.002313,0.0,0,0,22.59,25.6,1352,264,204.0
ha_ng,Hausa,True,Low,Chadic,whisper-small,A,"[2, 5, 8, 11]",0.2,0.054258,0.887251,0.003036,0.0,0,0,22.94,25.6,1203,264,198.5
ha_ng,Hausa,True,Low,Chadic,whisper-small,A,"[2, 5, 8, 11]",0.3,0.085309,0.888696,0.004481,0.0,0,0,23.05,25.6,1052,264,196.3
ha_ng,Hausa,True,Low,Chadic,whisper-small,A,"[2, 5, 8, 11]",0.4,0.119888,0.887829,0.003614,0.0,0,0,22.88,25.6,902,264,193.7
ln_cd,Lingala,True,Low,Bantu,whisper-small,baseline,[],0.0,0.0,0.903823,0.0,0.0,0,0,22.45,21.56,1500,264,191.6
ln_cd,Lingala,True,Low,Bantu,whisper-small,A,"[2, 5, 8, 11]",0.05,0.012741,0.901379,-0.002444,0.0,0,0,22.31,21.56,1427,264,190.9
ln_cd,Lingala,True,Low,Bantu,whisper-small,A,"[2, 5, 8, 11]",0.1,0.025996,0.903299,-0.000524,0.0,0,0,22.36,21.56,1352,264,187.1
ln_cd,Lingala,True,Low,Bantu,whisper-small,A,"[2, 5, 8, 11]",0.2,0.054258,0.903124,-0.000698,0.0,0,0,22.25,21.56,1203,264,184.8
ln_cd,Lingala,True,Low,Bantu,whisper-small,A,"[2, 5, 8, 11]",0.3,0.085309,0.906092,0.002269,0.0,0,0,22.44,21.56,1052,264,182.0
ln_cd,Lingala,True,Low,Bantu,whisper-small,A,"[2, 5, 8, 11]",0.4,0.119888,0.912027,0.008204,0.0,0,0,22.64,21.56,902,264,178.9
ta_in,Tamil,False,Medium,Dravidian,whisper-small,baseline,[],0.0,0.0,0.435137,0.0,0.015152,4,0,16.64,16.48,1500,264,532.7
ta_in,Tamil,False,Medium,Dravidian,whisper-small,A,"[2, 5, 8, 11]",0.05,0.012741,0.430521,-0.004616,0.015152,4,0,16.64,16.48,1427,264,526.3
ta_in,Tamil,False,Medium,Dravidian,whisper-small,A,"[2, 5, 8, 11]",0.1,0.025996,0.433532,-0.001606,0.018939,5,0,16.81,16.48,1352,264,537.7
ta_in,Tamil,False,Medium,Dravidian,whisper-small,A,"[2, 5, 8, 11]",0.2,0.054258,0.426708,-0.00843,0.022727,6,0,16.64,16.48,1203,264,526.1
ta_in,Tamil,False,Medium,Dravidian,whisper-small,A,"[2, 5, 8, 11]",0.3,0.085309,0.427511,-0.007627,0.034091,9,0,17.03,16.48,1052,264,550.6
ta_in,Tamil,False,Medium,Dravidian,whisper-small,A,"[2, 5, 8, 11]",0.4,0.119888,0.427845,-0.007292,0.018939,5,0,16.85,16.48,902,264,503.2
mt_mt,Maltese,False,Low,Semitic,whisper-small,baseline,[],0.0,0.0,0.893287,0.0,0.0,0,0,19.81,19.14,1500,264,205.2
mt_mt,Maltese,False,Low,Semitic,whisper-small,A,"[2, 5, 8, 11]",0.05,0.012741,0.893445,0.000158,0.0,0,0,19.82,19.14,1427,264,201.4
mt_mt,Maltese,False,Low,Semitic,whisper-small,A,"[2, 5, 8, 11]",0.1,0.025996,0.895028,0.001742,0.0,0,0,19.79,19.14,1352,264,198.2
mt_mt,Maltese,False,Low,Semitic,whisper-small,A,"[2, 5, 8, 11]",0.2,0.054258,0.894079,0.000792,0.0,0,0,19.68,19.14,1203,264,192.0
mt_mt,Maltese,False,Low,Semitic,whisper-small,A,"[2, 5, 8, 11]",0.3,0.085309,0.895345,0.002058,0.0,0,0,19.73,19.14,1052,264,190.6
mt_mt,Maltese,False,Low,Semitic,whisper-small,A,"[2, 5, 8, 11]",0.4,0.119888,0.895187,0.0019,0.0,0,0,19.75,19.14,902,264,188.5
jv_id,Javanese,False,Very Low,Austronesian,whisper-small,baseline,[],0.0,0.0,0.821723,0.0,0.0,0,0,19.0,19.76,1500,264,281.5
jv_id,Javanese,False,Very Low,Austronesian,whisper-small,A,"[2, 5, 8, 11]",0.05,0.012741,0.825094,0.003371,0.0,0,0,18.96,19.76,1427,264,274.7
jv_id,Javanese,False,Very Low,Austronesian,whisper-small,A,"[2, 5, 8, 11]",0.1,0.025996,0.833333,0.01161,0.0,0,0,19.17,19.76,1352,264,271.3
jv_id,Javanese,False,Very Low,Austronesian,whisper-small,A,"[2, 5, 8, 11]",0.2,0.054258,0.824345,0.002622,0.0,0,0,18.8,19.76,1203,264,287.6
jv_id,Javanese,False,Very Low,Austronesian,whisper-small,A,"[2, 5, 8, 11]",0.3,0.085309,0.825843,0.00412,0.0,0,0,19.22,19.76,1052,264,272.0
jv_id,Javanese,False,Very Low,Austronesian,whisper-small,A,"[2, 5, 8, 11]",0.4,0.119888,0.821723,0.0,0.0,0,0,19.11,19.76,902,264,272.5
en_us,English,False,High,Germanic,whisper-small,baseline,[],0.0,0.0,0.064488,0.0,0.0,0,0,21.22,21.13,1500,264,109.8
en_us,English,False,High,Germanic,whisper-small,A,"[2, 5, 8, 11]",0.05,0.012741,0.064134,-0.000353,0.0,0,0,21.22,21.13,1427,264,108.4
en_us,English,False,High,Germanic,whisper-small,A,"[2, 5, 8, 11]",0.1,0.025996,0.063958,-0.00053,0.0,0,0,21.22,21.13,1352,264,106.4
en_us,English,False,High,Germanic,whisper-small,A,"[2, 5, 8, 11]",0.2,0.054258,0.065018,0.00053,0.0,0,0,21.22,21.13,1203,264,103.1
en_us,English,False,High,Germanic,whisper-small,A,"[2, 5, 8, 11]",0.3,0.085309,0.064488,0.0,0.0,0,0,21.22,21.13,1052,264,101.3
en_us,English,False,High,Germanic,whisper-small,A,"[2, 5, 8, 11]",0.4,0.119888,0.063428,-0.00106,0.0,0,0,21.22,21.13,902,264,101.6
fr_fr,French,False,High,Romance,whisper-small,baseline,[],0.0,0.0,0.130775,0.0,0.0,0,0,25.52,25.75,1500,264,163.8
